year,jurisdiction,code,occupation,group,experience,deployment,displacement,reinstatement,netChange,employmentIndex,yoyChange,hiringChange
2030,Nigeria,NG,Customer support & call centre,Business services,Junior,0.34443,0.15071,0.00831,-0.14241,85.75948,-0.04434,-0.16579
2026,United States,US,Customer support & call centre,Business services,Mid,0.31272,0.04475,0.00786,-0.03689,96.31109,-0.01716,-0.10512
2027,United States,US,Customer support & call centre,Business services,Mid,0.50443,0.07218,0.01576,-0.05641,94.35873,-0.02027,-0.12202
2028,United States,US,Customer support & call centre,Business services,Mid,0.68352,0.0978,0.02766,-0.07014,92.98595,-0.01455,-0.0858
2029,United States,US,Customer support & call centre,Business services,Mid,0.80581,0.1153,0.04084,-0.07446,92.55363,-0.00465,-0.02702
2030,United States,US,Customer support & call centre,Business services,Mid,0.87252,0.12485,0.05127,-0.07357,92.64263,0.00096,0.00556
2026,Singapore,SG,Customer support & call centre,Business services,Mid,0.2925,0.04333,0.0064,-0.03693,96.30707,-0.01849,-0.11342
2027,Singapore,SG,Customer support & call centre,Business services,Mid,0.49636,0.07353,0.01368,-0.05985,94.01487,-0.0238,-0.14326
2028,Singapore,SG,Customer support & call centre,Business services,Mid,0.69263,0.10261,0.02544,-0.07717,92.28342,-0.01842,-0.10822
2029,Singapore,SG,Customer support & call centre,Business services,Mid,0.82532,0.12226,0.03911,-0.08315,91.68507,-0.00648,-0.0374
2030,Singapore,SG,Customer support & call centre,Business services,Mid,0.89503,0.13259,0.05005,-0.08254,91.74595,0.00066,0.0038
2026,United Kingdom,UK,Customer support & call centre,Business services,Mid,0.22387,0.02916,0.00482,-0.02433,97.56684,-0.01161,-0.07161
2027,United Kingdom,UK,Customer support & call centre,Business services,Mid,0.38281,0.04986,0.00967,-0.04018,95.98194,-0.01624,-0.09906
2028,United Kingdom,UK,Customer support & call centre,Business services,Mid,0.56215,0.07321,0.01765,-0.05556,94.44388,-0.01602,-0.09613
2029,United Kingdom,UK,Customer support & call centre,Business services,Mid,0.71203,0.09273,0.02803,-0.0647,93.53024,-0.00967,-0.0571
2030,United Kingdom,UK,Customer support & call centre,Business services,Mid,0.80894,0.10535,0.0381,-0.06725,93.27536,-0.00273,-0.01593
2026,Canada,CA,Customer support & call centre,Business services,Mid,0.20074,0.02795,0.00427,-0.02367,97.63254,-0.01129,-0.0697
2027,Canada,CA,Customer support & call centre,Business services,Mid,0.34658,0.04825,0.0085,-0.03975,96.02488,-0.01647,-0.10048
2028,Canada,CA,Customer support & call centre,Business services,Mid,0.51964,0.07235,0.01556,-0.05679,94.32092,-0.01774,-0.1065
2029,Canada,CA,Customer support & call centre,Business services,Mid,0.67388,0.09382,0.02511,-0.06872,93.12825,-0.01264,-0.07454
2030,Canada,CA,Customer support & call centre,Business services,Mid,0.78002,0.1086,0.03494,-0.07367,92.63344,-0.00531,-0.03093
2026,United Arab Emirates,AE,Customer support & call centre,Business services,Mid,0.17156,0.02278,0.0035,-0.01929,98.07125,-0.00991,-0.06134
2027,United Arab Emirates,AE,Customer support & call centre,Business services,Mid,0.31516,0.04185,0.00751,-0.03435,96.56529,-0.01536,-0.09412
2028,United Arab Emirates,AE,Customer support & call centre,Business services,Mid,0.49072,0.06517,0.01473,-0.05044,94.95606,-0.01666,-0.10058
2029,United Arab Emirates,AE,Customer support & call centre,Business services,Mid,0.64406,0.08553,0.02502,-0.06052,93.94818,-0.01061,-0.06299
2030,United Arab Emirates,AE,Customer support & call centre,Business services,Mid,0.74334,0.09872,0.03566,-0.06306,93.69391,-0.00271,-0.01589
2026,Australia,AU,Customer support & call centre,Business services,Mid,0.18674,0.02383,0.00381,-0.02002,97.99801,-0.00962,-0.05948
2027,Australia,AU,Customer support & call centre,Business services,Mid,0.32645,0.04166,0.00763,-0.03403,96.5969,-0.0143,-0.08757
2028,Australia,AU,Customer support & call centre,Business services,Mid,0.49683,0.06341,0.01411,-0.0493,95.07007,-0.01581,-0.09543
2029,Australia,AU,Customer support & call centre,Business services,Mid,0.65308,0.08335,0.02309,-0.06026,93.97425,-0.01153,-0.06849
2030,Australia,AU,Customer support & call centre,Business services,Mid,0.7631,0.09739,0.03261,-0.06478,93.52204,-0.00481,-0.02826
2026,Germany,DE,Customer support & call centre,Business services,Mid,0.18062,0.01845,0.00357,-0.01489,98.51137,-0.00673,-0.04169
2027,Germany,DE,Customer support & call centre,Business services,Mid,0.30566,0.03123,0.00676,-0.02447,97.55323,-0.00973,-0.05988
2028,Germany,DE,Customer support & call centre,Business services,Mid,0.46101,0.0471,0.01198,-0.03512,96.48833,-0.01092,-0.06656
2029,Germany,DE,Customer support & call centre,Business services,Mid,0.61255,0.06258,0.0192,-0.04338,95.66222,-0.00856,-0.05163
2030,Germany,DE,Customer support & call centre,Business services,Mid,0.72923,0.0745,0.02717,-0.04733,95.26729,-0.00413,-0.02468
2026,Japan,JP,Customer support & call centre,Business services,Mid,0.16856,0.01598,0.00291,-0.01307,98.6935,-0.00596,-0.03696
2027,Japan,JP,Customer support & call centre,Business services,Mid,0.28811,0.02731,0.00555,-0.02176,97.82386,-0.00881,-0.05435
2028,Japan,JP,Customer support & call centre,Business services,Mid,0.44,0.0417,0.00991,-0.03179,96.82072,-0.01025,-0.0627
2029,Japan,JP,Customer support & call centre,Business services,Mid,0.59189,0.0561,0.01607,-0.04003,95.99665,-0.00851,-0.0515
2030,Japan,JP,Customer support & call centre,Business services,Mid,0.71144,0.06743,0.02303,-0.0444,95.55984,-0.00455,-0.0273
2026,India,IN,Customer support & call centre,Business services,Mid,0.12095,0.01847,0.00257,-0.0159,98.40958,-0.00801,-0.04968
2027,India,IN,Customer support & call centre,Business services,Mid,0.22322,0.03409,0.00534,-0.02875,97.12478,-0.01306,-0.0803
2028,India,IN,Customer support & call centre,Business services,Mid,0.36,0.05498,0.01037,-0.04461,95.53861,-0.01633,-0.09914
2029,India,IN,Customer support & call centre,Business services,Mid,0.49678,0.07587,0.01797,-0.0579,94.21027,-0.0139,-0.08302
2030,India,IN,Customer support & call centre,Business services,Mid,0.59905,0.09149,0.02681,-0.06468,93.5323,-0.0072,-0.04237
2026,France,FR,Customer support & call centre,Business services,Mid,0.16451,0.01734,0.00311,-0.01423,98.57652,-0.00638,-0.03957
2027,France,FR,Customer support & call centre,Business services,Mid,0.2785,0.02936,0.00582,-0.02354,97.6459,-0.00944,-0.05816
2028,France,FR,Customer support & call centre,Business services,Mid,0.42461,0.04476,0.01026,-0.0345,96.55033,-0.01122,-0.06847
2029,France,FR,Customer support & call centre,Business services,Mid,0.57419,0.06052,0.01654,-0.04399,95.6013,-0.00983,-0.05931
2030,France,FR,Customer support & call centre,Business services,Mid,0.69594,0.07336,0.02375,-0.0496,95.03961,-0.00588,-0.03511
2026,Brazil,BR,Customer support & call centre,Business services,Mid,0.09137,0.01237,0.00175,-0.01062,98.93799,-0.00499,-0.031
2027,Brazil,BR,Customer support & call centre,Business services,Mid,0.16352,0.02214,0.00336,-0.01878,98.12248,-0.00824,-0.05097
2028,Brazil,BR,Customer support & call centre,Business services,Mid,0.26903,0.03642,0.00621,-0.03022,96.97827,-0.01166,-0.07151
2029,Brazil,BR,Customer support & call centre,Business services,Mid,0.39586,0.0536,0.01069,-0.0429,95.7097,-0.01308,-0.07929
2030,Brazil,BR,Customer support & call centre,Business services,Mid,0.51686,0.06998,0.01668,-0.0533,94.67011,-0.01086,-0.06497
2026,Nigeria,NG,Customer support & call centre,Business services,Mid,0.0536,0.00895,0.00101,-0.00794,99.20588,-0.00362,-0.0225
2027,Nigeria,NG,Customer support & call centre,Business services,Mid,0.09502,0.01588,0.00188,-0.01399,98.60051,-0.0061,-0.03784
2028,Nigeria,NG,Customer support & call centre,Business services,Mid,0.1593,0.02662,0.0034,-0.02321,97.67854,-0.00935,-0.05762
2029,Nigeria,NG,Customer support & call centre,Business services,Mid,0.24627,0.04115,0.00588,-0.03526,96.47357,-0.01234,-0.07531
2030,Nigeria,NG,Customer support & call centre,Business services,Mid,0.34443,0.05755,0.0095,-0.04805,95.19511,-0.01325,-0.0799
2026,United States,US,Customer support & call centre,Business services,Senior,0.31272,0.02051,0.00663,-0.01388,98.61208,-0.00612,-0.05521
2027,United States,US,Customer support & call centre,Business services,Senior,0.50443,0.03308,0.0133,-0.01978,98.02199,-0.00598,-0.05364
2028,United States,US,Customer support & call centre,Business services,Senior,0.68352,0.04483,0.02334,-0.02149,97.85137,-0.00174,-0.01551
2029,United States,US,Customer support & call centre,Business services,Senior,0.80581,0.05285,0.03445,-0.01839,98.16095,0.00316,0.02814
2030,United States,US,Customer support & call centre,Business services,Senior,0.87252,0.05722,0.04326,-0.01396,98.60397,0.00451,0.04027
2026,Singapore,SG,Customer support & call centre,Business services,Senior,0.2925,0.01986,0.0054,-0.01446,98.55412,-0.00697,-0.0629
2027,Singapore,SG,Customer support & call centre,Business services,Senior,0.49636,0.0337,0.01154,-0.02216,97.78406,-0.00781,-0.07001
2028,Singapore,SG,Customer support & call centre,Business services,Senior,0.69263,0.04703,0.02147,-0.02556,97.44379,-0.00348,-0.03093
2029,Singapore,SG,Customer support & call centre,Business services,Senior,0.82532,0.05604,0.033,-0.02303,97.69651,0.00259,0.02297
2030,Singapore,SG,Customer support & call centre,Business services,Senior,0.89503,0.06077,0.04223,-0.01854,98.14588,0.0046,0.04085
2026,United Kingdom,UK,Customer support & call centre,Business services,Senior,0.22387,0.01336,0.00407,-0.00929,99.07072,-0.00429,-0.03883
2027,United Kingdom,UK,Customer support & call centre,Business services,Senior,0.38281,0.02285,0.00816,-0.01469,98.53127,-0.00545,-0.04904
2028,United Kingdom,UK,Customer support & call centre,Business services,Senior,0.56215,0.03355,0.01489,-0.01866,98.13369,-0.00404,-0.03614
2029,United Kingdom,UK,Customer support & call centre,Business services,Senior,0.71203,0.0425,0.02365,-0.01885,98.11512,-0.00019,-0.00169
2030,United Kingdom,UK,Customer support & call centre,Business services,Senior,0.80894,0.04829,0.03215,-0.01614,98.38649,0.00277,0.02467
2026,Canada,CA,Customer support & call centre,Business services,Senior,0.20074,0.01281,0.00361,-0.0092,99.07967,-0.00428,-0.03868
2027,Canada,CA,Customer support & call centre,Business services,Senior,0.34658,0.02212,0.00717,-0.01494,98.5058,-0.00579,-0.05217
2028,Canada,CA,Customer support & call centre,Business services,Senior,0.51964,0.03316,0.01313,-0.02003,97.99673,-0.00517,-0.04628
2029,Canada,CA,Customer support & call centre,Business services,Senior,0.67388,0.043,0.02118,-0.02182,97.81812,-0.00182,-0.01624
2030,Canada,CA,Customer support & call centre,Business services,Senior,0.78002,0.04978,0.02948,-0.0203,97.97018,0.00155,0.01382
2026,United Arab Emirates,AE,Customer support & call centre,Business services,Senior,0.17156,0.01044,0.00295,-0.00749,99.25076,-0.00376,-0.03408
2027,United Arab Emirates,AE,Customer support & call centre,Business services,Senior,0.31516,0.01918,0.00633,-0.01285,98.71512,-0.0054,-0.04869
2028,United Arab Emirates,AE,Customer support & call centre,Business services,Senior,0.49072,0.02987,0.01243,-0.01744,98.25592,-0.00465,-0.04175
2029,United Arab Emirates,AE,Customer support & call centre,Business services,Senior,0.64406,0.0392,0.02111,-0.0181,98.1904,-0.00067,-0.00596
2030,United Arab Emirates,AE,Customer support & call centre,Business services,Senior,0.74334,0.04525,0.03009,-0.01516,98.48403,0.00299,0.02669
2026,Australia,AU,Customer support & call centre,Business services,Senior,0.18674,0.01092,0.00322,-0.00771,99.22941,-0.00361,-0.03268
2027,Australia,AU,Customer support & call centre,Business services,Senior,0.32645,0.0191,0.00644,-0.01266,98.73443,-0.00499,-0.045
2028,Australia,AU,Customer support & call centre,Business services,Senior,0.49683,0.02906,0.01191,-0.01716,98.28429,-0.00456,-0.04092
2029,Australia,AU,Customer support & call centre,Business services,Senior,0.65308,0.0382,0.01949,-0.01872,98.12831,-0.00159,-0.01418
2030,Australia,AU,Customer support & call centre,Business services,Senior,0.7631,0.04464,0.02752,-0.01712,98.28794,0.00163,0.01451
2026,Germany,DE,Customer support & call centre,Business services,Senior,0.18062,0.00846,0.00301,-0.00545,99.45518,-0.00239,-0.02164
2027,Germany,DE,Customer support & call centre,Business services,Senior,0.30566,0.01431,0.0057,-0.00861,99.13912,-0.00318,-0.02873
2028,Germany,DE,Customer support & call centre,Business services,Senior,0.46101,0.02159,0.01011,-0.01148,98.85231,-0.00289,-0.02607
2029,Germany,DE,Customer support & call centre,Business services,Senior,0.61255,0.02868,0.0162,-0.01248,98.75199,-0.00101,-0.00912
2030,Germany,DE,Customer support & call centre,Business services,Senior,0.72923,0.03415,0.02293,-0.01122,98.87819,0.00128,0.01147
2026,Japan,JP,Customer support & call centre,Business services,Senior,0.16856,0.00732,0.00246,-0.00487,99.51341,-0.00216,-0.0196
2027,Japan,JP,Customer support & call centre,Business services,Senior,0.28811,0.01252,0.00468,-0.00784,99.21637,-0.00298,-0.027
2028,Japan,JP,Customer support & call centre,Business services,Senior,0.44,0.01911,0.00836,-0.01075,98.92485,-0.00294,-0.0265
2029,Japan,JP,Customer support & call centre,Business services,Senior,0.59189,0.02571,0.01356,-0.01216,98.78443,-0.00142,-0.01277
2030,Japan,JP,Customer support & call centre,Business services,Senior,0.71144,0.03091,0.01943,-0.01147,98.85258,0.00069,0.0062
2026,India,IN,Customer support & call centre,Business services,Senior,0.12095,0.00847,0.00217,-0.0063,99.37001,-0.00312,-0.0283
2027,India,IN,Customer support & call centre,Business services,Senior,0.22322,0.01563,0.0045,-0.01112,98.88795,-0.00485,-0.04382
2028,India,IN,Customer support & call centre,Business services,Senior,0.36,0.0252,0.00875,-0.01645,98.35476,-0.00539,-0.04847
2029,India,IN,Customer support & call centre,Business services,Senior,0.49678,0.03477,0.01517,-0.01961,98.0391,-0.00321,-0.0287
2030,India,IN,Customer support & call centre,Business services,Senior,0.59905,0.04193,0.02262,-0.01931,98.06907,0.00031,0.00272
2026,France,FR,Customer support & call centre,Business services,Senior,0.16451,0.00795,0.00262,-0.00533,99.46727,-0.00233,-0.02111
2027,France,FR,Customer support & call centre,Business services,Senior,0.2785,0.01345,0.00491,-0.00855,99.14517,-0.00324,-0.02928
2028,France,FR,Customer support & call centre,Business services,Senior,0.42461,0.02051,0.00866,-0.01186,98.81435,-0.00334,-0.03007
2029,France,FR,Customer support & call centre,Business services,Senior,0.57419,0.02774,0.01395,-0.01379,98.6213,-0.00195,-0.01755
2030,France,FR,Customer support & call centre,Business services,Senior,0.69594,0.03362,0.02004,-0.01358,98.64199,0.00021,0.00188
2026,Brazil,BR,Customer support & call centre,Business services,Senior,0.09137,0.00567,0.00148,-0.00419,99.58071,-0.00195,-0.01765
2027,Brazil,BR,Customer support & call centre,Business services,Senior,0.16352,0.01015,0.00284,-0.00731,99.26915,-0.00313,-0.02832
2028,Brazil,BR,Customer support & call centre,Business services,Senior,0.26903,0.01669,0.00524,-0.01146,98.85429,-0.00418,-0.03771
2029,Brazil,BR,Customer support & call centre,Business services,Senior,0.39586,0.02457,0.00902,-0.01554,98.44579,-0.00413,-0.03714
2030,Brazil,BR,Customer support & call centre,Business services,Senior,0.51686,0.03207,0.01408,-0.018,98.2001,-0.0025,-0.02234
2026,Nigeria,NG,Customer support & call centre,Business services,Senior,0.0536,0.0041,0.00086,-0.00325,99.67509,-0.00147,-0.01333
2027,Nigeria,NG,Customer support & call centre,Business services,Senior,0.09502,0.00728,0.00159,-0.00569,99.43107,-0.00245,-0.02218
2028,Nigeria,NG,Customer support & call centre,Business services,Senior,0.1593,0.0122,0.00287,-0.00933,99.06707,-0.00366,-0.03309
2029,Nigeria,NG,Customer support & call centre,Business services,Senior,0.24627,0.01886,0.00496,-0.0139,98.61039,-0.00461,-0.04152
2030,Nigeria,NG,Customer support & call centre,Business services,Senior,0.34443,0.02638,0.00801,-0.01836,98.16378,-0.00453,-0.0406
2026,United States,US,Customer support & call centre,Business services,Lead / Executive,0.31272,0.01012,0.00509,-0.00503,99.49681,-0.00202,-0.0288
2027,United States,US,Customer support & call centre,Business services,Lead / Executive,0.50443,0.01633,0.01021,-0.00611,99.38851,-0.00109,-0.01547
2028,United States,US,Customer support & call centre,Business services,Lead / Executive,0.68352,0.02212,0.01792,-0.0042,99.57955,0.00192,0.02729
2029,United States,US,Customer support & call centre,Business services,Lead / Executive,0.80581,0.02608,0.02645,0.00037,100.03707,0.00459,0.06536
2030,United States,US,Customer support & call centre,Business services,Lead / Executive,0.87252,0.02824,0.03321,0.00497,100.49713,0.0046,0.06572
2026,Singapore,SG,Customer support & call centre,Business services,Lead / Executive,0.2925,0.0098,0.00415,-0.00565,99.43453,-0.00258,-0.03679
2027,Singapore,SG,Customer support & call centre,Business services,Lead / Executive,0.49636,0.01663,0.00886,-0.00777,99.22288,-0.00213,-0.03024
2028,Singapore,SG,Customer support & call centre,Business services,Lead / Executive,0.69263,0.02321,0.01648,-0.00673,99.32704,0.00105,0.01488
2029,Singapore,SG,Customer support & call centre,Business services,Lead / Executive,0.82532,0.02765,0.02534,-0.00232,99.76804,0.00444,0.063
2030,Singapore,SG,Customer support & call centre,Business services,Lead / Executive,0.89503,0.02999,0.03242,0.00243,100.24278,0.00476,0.06782
2026,United Kingdom,UK,Customer support & call centre,Business services,Lead / Executive,0.22387,0.00659,0.00312,-0.00347,99.65299,-0.00152,-0.0217
2027,United Kingdom,UK,Customer support & call centre,Business services,Lead / Executive,0.38281,0.01128,0.00627,-0.00501,99.49898,-0.00155,-0.022
2028,United Kingdom,UK,Customer support & call centre,Business services,Lead / Executive,0.56215,0.01656,0.01143,-0.00513,99.48726,-0.00012,-0.00167
2029,United Kingdom,UK,Customer support & call centre,Business services,Lead / Executive,0.71203,0.02097,0.01816,-0.00282,99.71828,0.00232,0.033
2030,United Kingdom,UK,Customer support & call centre,Business services,Lead / Executive,0.80894,0.02383,0.02468,0.00085,100.0852,0.00368,0.05242
2026,Canada,CA,Customer support & call centre,Business services,Lead / Executive,0.20074,0.00632,0.00277,-0.00355,99.6447,-0.00159,-0.02264
2027,Canada,CA,Customer support & call centre,Business services,Lead / Executive,0.34658,0.01091,0.00551,-0.00541,99.45931,-0.00186,-0.02648
2028,Canada,CA,Customer support & call centre,Business services,Lead / Executive,0.51964,0.01636,0.01008,-0.00629,99.37128,-0.00089,-0.01258
2029,Canada,CA,Customer support & call centre,Business services,Lead / Executive,0.67388,0.02122,0.01626,-0.00496,99.50404,0.00134,0.01897
2030,Canada,CA,Customer support & call centre,Business services,Lead / Executive,0.78002,0.02456,0.02263,-0.00194,99.80647,0.00304,0.0432
2026,United Arab Emirates,AE,Customer support & call centre,Business services,Lead / Executive,0.17156,0.00515,0.00226,-0.00289,99.71113,-0.0014,-0.02001
2027,United Arab Emirates,AE,Customer support & call centre,Business services,Lead / Executive,0.31516,0.00947,0.00486,-0.0046,99.53958,-0.00172,-0.02451
2028,United Arab Emirates,AE,Customer support & call centre,Business services,Lead / Executive,0.49072,0.01474,0.00954,-0.0052,99.48004,-0.0006,-0.00851
2029,United Arab Emirates,AE,Customer support & call centre,Business services,Lead / Executive,0.64406,0.01935,0.0162,-0.00314,99.68565,0.00207,0.02937
2030,United Arab Emirates,AE,Customer support & call centre,Business services,Lead / Executive,0.74334,0.02233,0.0231,0.00077,100.07674,0.00392,0.05587
2026,Australia,AU,Customer support & call centre,Business services,Lead / Executive,0.18674,0.00539,0.00247,-0.00292,99.70793,-0.00132,-0.01877
2027,Australia,AU,Customer support & call centre,Business services,Lead / Executive,0.32645,0.00942,0.00494,-0.00448,99.552,-0.00156,-0.02228
2028,Australia,AU,Customer support & call centre,Business services,Lead / Executive,0.49683,0.01434,0.00914,-0.0052,99.47971,-0.00073,-0.01033
2029,Australia,AU,Customer support & call centre,Business services,Lead / Executive,0.65308,0.01885,0.01496,-0.00389,99.61057,0.00132,0.01869
2030,Australia,AU,Customer support & call centre,Business services,Lead / Executive,0.7631,0.02203,0.02113,-0.0009,99.90956,0.003,0.04271
2026,Germany,DE,Customer support & call centre,Business services,Lead / Executive,0.18062,0.00417,0.00231,-0.00186,99.81364,-0.00077,-0.01097
2027,Germany,DE,Customer support & call centre,Business services,Lead / Executive,0.30566,0.00706,0.00438,-0.00268,99.73153,-0.00082,-0.01173
2028,Germany,DE,Customer support & call centre,Business services,Lead / Executive,0.46101,0.01065,0.00776,-0.00289,99.7108,-0.00021,-0.00296
2029,Germany,DE,Customer support & call centre,Business services,Lead / Executive,0.61255,0.01416,0.01244,-0.00172,99.82833,0.00118,0.01679
2030,Germany,DE,Customer support & call centre,Business services,Lead / Executive,0.72923,0.01685,0.0176,0.00075,100.07501,0.00247,0.03524
2026,Japan,JP,Customer support & call centre,Business services,Lead / Executive,0.16856,0.00361,0.00189,-0.00173,99.82722,-0.00073,-0.01045
2027,Japan,JP,Customer support & call centre,Business services,Lead / Executive,0.28811,0.00618,0.00359,-0.00258,99.74158,-0.00086,-0.01223
2028,Japan,JP,Customer support & call centre,Business services,Lead / Executive,0.44,0.00943,0.00642,-0.00301,99.6987,-0.00043,-0.00612
2029,Japan,JP,Customer support & call centre,Business services,Lead / Executive,0.59189,0.01269,0.01041,-0.00228,99.77182,0.00073,0.01045
2030,Japan,JP,Customer support & call centre,Business services,Lead / Executive,0.71144,0.01525,0.01492,-0.00033,99.96653,0.00195,0.02782
2026,India,IN,Customer support & call centre,Business services,Lead / Executive,0.12095,0.00418,0.00166,-0.00252,99.74849,-0.00122,-0.0174
2027,India,IN,Customer support & call centre,Business services,Lead / Executive,0.22322,0.00771,0.00346,-0.00425,99.5747,-0.00174,-0.02483
2028,India,IN,Customer support & call centre,Business services,Lead / Executive,0.36,0.01244,0.00671,-0.00572,99.42788,-0.00147,-0.02097
2029,India,IN,Customer support & call centre,Business services,Lead / Executive,0.49678,0.01716,0.01164,-0.00552,99.44806,0.0002,0.00288
2030,India,IN,Customer support & call centre,Business services,Lead / Executive,0.59905,0.02069,0.01737,-0.00333,99.66734,0.0022,0.03133
2026,France,FR,Customer support & call centre,Business services,Lead / Executive,0.16451,0.00392,0.00201,-0.00191,99.80894,-0.0008,-0.01141
2027,France,FR,Customer support & call centre,Business services,Lead / Executive,0.2785,0.00664,0.00377,-0.00287,99.71266,-0.00096,-0.01375
2028,France,FR,Customer support & call centre,Business services,Lead / Executive,0.42461,0.01012,0.00665,-0.00348,99.65222,-0.00061,-0.00863
2029,France,FR,Customer support & call centre,Business services,Lead / Executive,0.57419,0.01369,0.01071,-0.00298,99.70216,0.0005,0.00713
2030,France,FR,Customer support & call centre,Business services,Lead / Executive,0.69594,0.01659,0.01539,-0.00121,99.87931,0.00178,0.02531
2026,Brazil,BR,Customer support & call centre,Business services,Lead / Executive,0.09137,0.0028,0.00113,-0.00166,99.83357,-0.00076,-0.01085
2027,Brazil,BR,Customer support & call centre,Business services,Lead / Executive,0.16352,0.00501,0.00218,-0.00283,99.71716,-0.00117,-0.01663
2028,Brazil,BR,Customer support & call centre,Business services,Lead / Executive,0.26903,0.00824,0.00402,-0.00422,99.57819,-0.00139,-0.01985
2029,Brazil,BR,Customer support & call centre,Business services,Lead / Executive,0.39586,0.01212,0.00693,-0.0052,99.48039,-0.00098,-0.01397
2030,Brazil,BR,Customer support & call centre,Business services,Lead / Executive,0.51686,0.01583,0.01081,-0.00502,99.49765,0.00017,0.00247
2026,Nigeria,NG,Customer support & call centre,Business services,Lead / Executive,0.0536,0.00203,0.00066,-0.00137,99.8631,-0.00061,-0.00877
2027,Nigeria,NG,Customer support & call centre,Business services,Lead / Executive,0.09502,0.00359,0.00122,-0.00237,99.76275,-0.001,-0.01434
2028,Nigeria,NG,Customer support & call centre,Business services,Lead / Executive,0.1593,0.00602,0.0022,-0.00382,99.61827,-0.00145,-0.02064
2029,Nigeria,NG,Customer support & call centre,Business services,Lead / Executive,0.24627,0.00931,0.00381,-0.0055,99.45027,-0.00169,-0.024
2030,Nigeria,NG,Customer support & call centre,Business services,Lead / Executive,0.34443,0.01302,0.00615,-0.00686,99.3135,-0.00138,-0.01954
2026,United States,US,Accounting & bookkeeping,Finance,Entry,0.31272,0.18858,0.00477,-0.1838,81.6197,-0.0955,-0.24623
2027,United States,US,Accounting & bookkeeping,Finance,Entry,0.50443,0.30418,0.00958,-0.2946,70.5399,-0.13575,-0.31657
2028,United States,US,Accounting & bookkeeping,Finance,Entry,0.68352,0.41218,0.01681,-0.39537,60.46318,-0.14285,-0.28791
2029,United States,US,Accounting & bookkeeping,Finance,Entry,0.80581,0.48591,0.02481,-0.4611,53.88986,-0.10872,-0.18781
2030,United States,US,Accounting & bookkeeping,Finance,Entry,0.87252,0.52615,0.03115,-0.49499,50.50089,-0.06289,-0.09683
2026,Singapore,SG,Accounting & bookkeeping,Finance,Entry,0.2925,0.18261,0.00389,-0.17872,82.12783,-0.09833,-0.2559
2027,Singapore,SG,Accounting & bookkeeping,Finance,Entry,0.49636,0.30989,0.00831,-0.30158,69.84241,-0.14959,-0.35101
2028,Singapore,SG,Accounting & bookkeeping,Finance,Entry,0.69263,0.43243,0.01546,-0.41697,58.30335,-0.16522,-0.32969
2029,Singapore,SG,Accounting & bookkeeping,Finance,Entry,0.82532,0.51526,0.02377,-0.4915,50.85039,-0.12783,-0.21294
2030,Singapore,SG,Accounting & bookkeeping,Finance,Entry,0.89503,0.55878,0.03041,-0.52837,47.16282,-0.07252,-0.10536
2026,United Kingdom,UK,Accounting & bookkeeping,Finance,Entry,0.22387,0.12287,0.00293,-0.11994,88.00591,-0.06129,-0.16419
2027,United Kingdom,UK,Accounting & bookkeeping,Finance,Entry,0.38281,0.21011,0.00588,-0.20423,79.57694,-0.09578,-0.24083
2028,United Kingdom,UK,Accounting & bookkeeping,Finance,Entry,0.56215,0.30854,0.01072,-0.29781,70.21863,-0.1176,-0.26738
2029,United Kingdom,UK,Accounting & bookkeeping,Finance,Entry,0.71203,0.3908,0.01703,-0.37377,62.62338,-0.10817,-0.21701
2030,United Kingdom,UK,Accounting & bookkeeping,Finance,Entry,0.80894,0.44399,0.02315,-0.42084,57.91648,-0.07516,-0.13448
2026,Canada,CA,Accounting & bookkeeping,Finance,Entry,0.20074,0.11779,0.0026,-0.11519,88.48086,-0.05855,-0.15721
2027,Canada,CA,Accounting & bookkeeping,Finance,Entry,0.34658,0.20336,0.00517,-0.1982,80.18044,-0.09381,-0.23715
2028,Canada,CA,Accounting & bookkeeping,Finance,Entry,0.51964,0.30491,0.00945,-0.29545,70.4548,-0.1213,-0.27788
2029,Canada,CA,Accounting & bookkeeping,Finance,Entry,0.67388,0.39541,0.01526,-0.38016,61.98436,-0.12023,-0.24201
2030,Canada,CA,Accounting & bookkeeping,Finance,Entry,0.78002,0.45769,0.02123,-0.43646,56.35379,-0.09084,-0.16087
2026,United Arab Emirates,AE,Accounting & bookkeeping,Finance,Entry,0.17156,0.09602,0.00212,-0.0939,90.61039,-0.05067,-0.13818
2027,United Arab Emirates,AE,Accounting & bookkeeping,Finance,Entry,0.31516,0.17639,0.00456,-0.17183,82.81699,-0.08601,-0.22267
2028,United Arab Emirates,AE,Accounting & bookkeeping,Finance,Entry,0.49072,0.27465,0.00895,-0.2657,73.43013,-0.11334,-0.2682
2029,United Arab Emirates,AE,Accounting & bookkeeping,Finance,Entry,0.64406,0.36047,0.0152,-0.34527,65.47277,-0.10837,-0.22735
2030,United Arab Emirates,AE,Accounting & bookkeeping,Finance,Entry,0.74334,0.41604,0.02167,-0.39437,60.56279,-0.07499,-0.14029
2026,Australia,AU,Accounting & bookkeeping,Finance,Entry,0.18674,0.10044,0.00232,-0.09813,90.18735,-0.04982,-0.13511
2027,Australia,AU,Accounting & bookkeeping,Finance,Entry,0.32645,0.17559,0.00464,-0.17095,82.90505,-0.08075,-0.20807
2028,Australia,AU,Accounting & bookkeeping,Finance,Entry,0.49683,0.26723,0.00857,-0.25866,74.13415,-0.10579,-0.2506
